RawData,FilteredData(graus/s),FilteredData(rad/s),Angles(rad)
0,0,0,0
-0.304878,-0.0609756,-0.00106423,-5.32113e-06
-0.304878,-0.109756,-0.00191561,-1.48992e-05
-0.426829,-0.173171,-0.0030224,-3.00111e-05
-0.426829,-0.223902,-0.00390783,-4.95503e-05
-0.426829,-0.264488,-0.00461618,-7.26312e-05
-0.426829,-0.296956,-0.00518286,-9.85455e-05
-0.731707,-0.383906,-0.00670043,-0.000132048
-0.731707,-0.453467,-0.00791448,-0.00017162
-0.243902,-0.411554,-0.00718297,-0.000207535
-0.243902,-0.378023,-0.00659775,-0.000240524
-0.243902,-0.351199,-0.00612958,-0.000271172
-0.243902,-0.32974,-0.00575505,-0.000299947
-0.365854,-0.336963,-0.00588111,-0.000329352
-0.365854,-0.342741,-0.00598196,-0.000359262
-0.365854,-0.347363,-0.00606264,-0.000389575
-0.365854,-0.351061,-0.00612718,-0.000420211
-0.54878,-0.390605,-0.00681735,-0.000454298
-0.54878,-0.42224,-0.00736948,-0.000491145
-0.609756,-0.459743,-0.00802404,-0.000531266
-0.609756,-0.489746,-0.00854768,-0.000574004
-0.609756,-0.513748,-0.00896659,-0.000618837
-0.609756,-0.53295,-0.00930173,-0.000665346
-0.670732,-0.560506,-0.00978268,-0.000714259
-0.670732,-0.582551,-0.0101674,-0.000765096
-0.670732,-0.600187,-0.0104752,-0.000817472
-0.54878,-0.589906,-0.0102958,-0.000868951
-0.54878,-0.581681,-0.0101522,-0.000919713
-0.54878,-0.575101,-0.0100374,-0.0009699
-0.54878,-0.569837,-0.00994553,-0.00101963
-0.365854,-0.52904,-0.00923349,-0.00106579
-0.365854,-0.496403,-0.00866386,-0.00110911
-0.365854,-0.470293,-0.00820816,-0.00115015
-0.54878,-0.48599,-0.00848213,-0.00119257
-0.54878,-0.498548,-0.00870131,-0.00123607
-0.54878,-0.508595,-0.00887666,-0.00128046
-0.365854,-0.480047,-0.00837839,-0.00132235
-0.365854,-0.457208,-0.00797979,-0.00136225
-0.365854,-0.438937,-0.0076609,-0.00140055
-0.365854,-0.42432,-0.00740579,-0.00143758
-0.670732,-0.473603,-0.00826593,-0.00147891
-0.670732,-0.513029,-0.00895404,-0.00152368
-0.54878,-0.520179,-0.00907883,-0.00156907
-0.54878,-0.525899,-0.00917867,-0.00161497
-0.54878,-0.530475,-0.00925854,-0.00166126
-0.54878,-0.534136,-0.00932244,-0.00170787
-0.54878,-0.537065,-0.00937356,-0.00175474
-0.54878,-0.539408,-0.00941445,-0.00180181
-0.54878,-0.541283,-0.00944717,-0.00184905
-0.54878,-0.542782,-0.00947334,-0.00189641
-0.243902,-0.483006,-0.00843005,-0.00193856
-0.243902,-0.435186,-0.00759542,-0.00197654
-0.54878,-0.457905,-0.00799194,-0.0020165
-0.54878,-0.47608,-0.00830916,-0.00205805
-0.54878,-0.49062,-0.00856293,-0.00210086
-0.54878,-0.502252,-0.00876595,-0.00214469
-0.54878,-0.511558,-0.00892837,-0.00218933
-0.54878,-0.519002,-0.0090583,-0.00223463
-0.54878,-0.524958,-0.00916224,-0.00228044
-0.426829,-0.505332,-0.00881971,-0.00232453
-0.426829,-0.489632,-0.00854568,-0.00236726
-0.426829,-0.477071,-0.00832646,-0.0024089
-0.243902,-0.430437,-0.00751255,-0.00244646
-0.243902,-0.39313,-0.00686142,-0.00248077
-0.243902,-0.363285,-0.00634052,-0.00251247
-0.243902,-0.339408,-0.00592379,-0.00254209
-0.426829,-0.356893,-0.00622895,-0.00257323
-0.426829,-0.37088,-0.00647307,-0.0026056
-0.426829,-0.38207,-0.00666838,-0.00263894
-0.365854,-0.378827,-0.00661177,-0.002672
-0.365854,-0.376232,-0.00656649,-0.00270483
-0.365854,-0.374156,-0.00653026,-0.00273748
-0.426829,-0.384691,-0.00671412,-0.00277105
-0.426829,-0.393119,-0.00686121,-0.00280536
-0.426829,-0.399861,-0.00697889,-0.00284025
-0.304878,-0.380864,-0.00664733,-0.00287349
-0.304878,-0.365667,-0.00638209,-0.0029054
-0.304878,-0.353509,-0.0061699,-0.00293625
-0.304878,-0.343783,-0.00600014,-0.00296625
-0.0609756,-0.287221,-0.00501296,-0.00299131
-0.0609756,-0.241972,-0.00422321,-0.00301243
-0.0609756,-0.205773,-0.00359142,-0.00303039
-0.365854,-0.237789,-0.0041502,-0.00305114
-0.365854,-0.263402,-0.00459723,-0.00307413
-0.365854,-0.283892,-0.00495486,-0.0030989
-0.365854,-0.300285,-0.00524096,-0.0031251
-0.426829,-0.325594,-0.00568268,-0.00315352
-0.426829,-0.345841,-0.00603606,-0.0031837
-0.426829,-0.362038,-0.00631876,-0.00321529
-0.365854,-0.362801,-0.00633208,-0.00324695
-0.365854,-0.363412,-0.00634273,-0.00327867
-0.365854,-0.3639,-0.00635126,-0.00331042
-0.304878,-0.352096,-0.00614523,-0.00334115
